time,latitude,longitude,depth
2018-07-10T03:56:08.060Z,19.4344997,-155.3025055,-1.13
2018-07-10T03:26:19.410Z,19.4086666,-155.2713318,0.74
2018-07-10T03:26:15.150Z,19.4209995,-155.2678375,2.35
2018-07-10T02:53:40.770Z,19.3943329,-155.2758331,1.19
2018-07-10T02:50:43.540Z,19.4068336,-155.2813263,0.03
2018-07-10T02:43:25.710Z,18.789,-66.532,32
2018-07-10T02:24:06.500Z,19.4108334,-155.2676697,0.17
2018-07-10T02:23:56.280Z,19.4106674,-155.2746735,0.56
2018-07-10T02:17:57.480Z,42.3703,18.9304,10
2018-07-10T02:03:14.590Z,19.3213329,-155.5008392,1.47
2018-07-10T01:52:47.040Z,16.4594,-96.8992,49.8
2018-07-10T01:31:24.560Z,19.2066669,-155.5296631,30.82
2018-07-10T01:15:02.920Z,19.0925,-66.9788,24
2018-07-10T01:14:01.140Z,39.7887,-116.2637,0.6
2018-07-10T01:10:25.180Z,19.0136,-67.0781,31
2018-07-10T01:08:55.553Z,61.5751,-143.3291,51.9
2018-07-10T01:08:21.166Z,62.9791,-150.6441,114.6
2018-07-10T00:54:35.480Z,18.1515,-68.4265,116
2018-07-10T00:17:29.750Z,19.4003333,-155.274,1.21
2018-07-10T00:12:16.181Z,62.1655,-143.6534,0
2018-07-10T00:00:07.050Z,37.1251667,-121.5265,7.26
2018-07-09T23:54:09.940Z,19.2768326,-155.276001,6.91
2018-07-09T23:36:43.380Z,19.3938332,-155.2788391,1.51
2018-07-09T23:28:02.390Z,19.3933334,-155.289505,0.32
2018-07-09T23:20:18.510Z,19.4109993,-155.2908325,0.5
2018-07-09T22:31:36.580Z,1.3238,127.3925,129.98
2018-07-09T22:08:46.110Z,19.3950005,-155.2833405,-0.02
2018-07-09T22:08:06.330Z,19.4136658,-155.2539978,0.35
2018-07-09T21:41:19.690Z,18.1389,145.4832,252.64
2018-07-09T21:11:12.130Z,60.2065,-137.2984,10
2018-07-09T19:38:40.832Z,59.8695,-153.2091,125.3
2018-07-09T19:29:48.270Z,19.4200001,-155.2776642,0.22
2018-07-09T19:20:46.330Z,19.399,-155.2895,-0.4
2018-07-09T19:19:12.780Z,19.4190006,-155.2836609,0.26
2018-07-09T19:17:53.800Z,19.3988342,-155.2853394,0.58
2018-07-09T19:15:57.970Z,19.4160004,-155.2709961,0.72
2018-07-09T19:13:29.850Z,19.4078331,-155.2623291,0.92
2018-07-09T19:10:26.250Z,19.428833,-155.2728271,3.23
2018-07-09T19:08:25.156Z,60.3312,-151.6731,69.7
2018-07-09T18:59:01.540Z,19.4006672,-155.2711639,-0.04
2018-07-09T18:55:40.430Z,19.3985004,-155.2803345,0.58
2018-07-09T18:40:28.920Z,19.4080009,-155.2576599,0.44
2018-07-09T18:40:09.570Z,19.4144993,-155.2916718,0.21
2018-07-09T18:38:49.280Z,19.3991661,-155.2758331,1.11
2018-07-09T18:37:24.200Z,19.4116669,-155.2899933,0.62
2018-07-09T18:36:46.550Z,19.4241657,-155.2583313,0.68
2018-07-09T18:32:44.900Z,19.3296661,-155.1043396,5.98
2018-07-09T18:30:09.220Z,19.4249992,-155.2814941,0.37
2018-07-09T18:29:16.320Z,19.4179993,-155.2696686,0.89
2018-07-09T18:25:31.770Z,19.3920002,-155.2818298,0.72
2018-07-09T18:25:05.230Z,19.4328327,-155.279007,1.23
2018-07-09T18:19:45.390Z,19.4296665,-155.276001,-0.55
2018-07-09T18:19:04.220Z,19.4026661,-155.2700043,1.05
2018-07-09T18:18:50.720Z,19.4058342,-155.2651672,0.47
2018-07-09T18:14:43.490Z,19.399334,-155.2701721,0.04
2018-07-09T18:14:15.020Z,-2.761,-79.8172,47.45
2018-07-09T18:13:06.540Z,19.3904991,-155.2550049,1.11
2018-07-09T18:12:59.080Z,19.4058342,-155.2813263,0.95
2018-07-09T18:06:18.970Z,19.4120007,-155.2833405,0.58
2018-07-09T18:04:32.970Z,19.4063339,-155.261673,0.21
2018-07-09T18:04:11.310Z,19.4111671,-155.309494,0.7
2018-07-09T17:58:59.900Z,19.4151667,-155.2765,0.79
2018-07-09T17:58:15.500Z,19.3955002,-155.2861633,0.95
2018-07-09T17:56:17.620Z,19.3203335,-155.1863403,2.08
2018-07-09T17:53:40.280Z,19.4293327,-155.281662,1.17
2018-07-09T17:50:15.990Z,19.3983326,-155.2689972,0.04
2018-07-09T17:48:55.625Z,56.1814,-149.7898,10.9
2018-07-09T17:44:01.540Z,19.4223328,-155.2688293,0.41
2018-07-09T17:32:02.440Z,19.392334,-155.2644958,0.98
2018-07-09T17:31:47.650Z,19.4130001,-155.2863312,0.99
2018-07-09T17:30:17.610Z,19.4321671,-155.258667,0.17
2018-07-09T17:26:04.880Z,19.3986664,-155.2630005,0.47
2018-07-09T17:21:33.770Z,19.3994999,-155.2648315,0.1
2018-07-09T17:16:10.200Z,19.4025002,-155.2890015,0.45
2018-07-09T17:15:32.500Z,19.4265003,-155.2563324,0.52
2018-07-09T17:12:55.210Z,18.2973,-67.8985,111
2018-07-09T17:03:27.090Z,19.4160004,-155.2714996,0.76
2018-07-09T17:03:22.670Z,19.4148331,-155.269165,0.56
2018-07-09T17:02:42.860Z,19.3868332,-155.3159943,2.31
2018-07-09T16:57:06.850Z,19.3975,-155.274,0.22
2018-07-09T16:56:34.200Z,19.4111667,-155.2693333,0.88
2018-07-09T16:55:01.490Z,19.4451675,-155.4873352,-3.6
2018-07-09T16:54:56.170Z,19.4116667,-155.2763333,0.74
2018-07-09T16:54:07.390Z,19.4008331,-155.2631683,1.44
2018-07-09T16:52:35.600Z,19.4090004,-155.2664948,1.13
2018-07-09T16:50:44.320Z,19.3951664,-155.2628326,-0.26
2018-07-09T16:47:30.620Z,19.4351673,-155.2856598,-0.18
2018-07-09T16:47:03.850Z,19.3968334,-155.2698364,-0.16
2018-07-09T16:39:01.970Z,19.4155006,-155.2720032,0.49
2018-07-09T16:35:28.920Z,19.4281673,-155.2641602,0.33
2018-07-09T16:34:59.170Z,19.4281673,-155.2743378,-0.06
2018-07-09T16:30:44.030Z,19.3973331,-155.2601624,-0.45
2018-07-09T16:30:01.330Z,19.4018326,-155.2855072,-0.63
2018-07-09T16:19:45.470Z,19.3848324,-155.2376709,0.8
2018-07-09T16:17:35.230Z,19.4028339,-155.2823334,1.28
2018-07-09T16:15:45.740Z,19.3964996,-155.2871704,-0.24
2018-07-09T16:14:10.130Z,19.4141674,-155.2801666,0.19
2018-07-09T16:13:50.810Z,19.4163342,-155.2771606,1.08
2018-07-09T16:13:12.410Z,19.3948326,-155.2640076,-0.06
2018-07-09T16:12:59.050Z,19.4336662,-155.2431641,-0.66
2018-07-09T16:09:33.480Z,19.3976669,-155.2671661,-0.19
2018-07-09T16:09:16.760Z,19.4086666,-155.2631683,-0.78
2018-07-09T16:05:12.460Z,19.4195004,-155.2713318,1.01
2018-07-09T16:05:01.610Z,19.3778324,-155.3110046,5.02
2018-07-09T16:04:55.990Z,19.3961658,-155.2785034,1.04
2018-07-09T16:01:43.740Z,19.2343,-64.5501,37
2018-07-09T15:56:25.240Z,18.9583,-67.653,126
2018-07-09T15:49:20.260Z,19.3961658,-155.2683258,0.41
2018-07-09T15:32:15.330Z,19.4009991,-155.2713318,0.47
2018-07-09T15:27:08.280Z,19.4023342,-155.2641602,0.42
2018-07-09T15:25:52.640Z,19.417,-155.2738333,0.29
2018-07-09T15:23:23.580Z,31.5751667,-115.6855,7.79
2018-07-09T15:23:14.330Z,19.4138333,-155.2596667,-0.07
2018-07-09T15:22:53.830Z,19.4145,-155.2698333,0.12
2018-07-09T15:21:36.170Z,19.4111671,-155.2734985,0.36
2018-07-09T15:19:33.060Z,19.4063339,-155.2761688,0.11
2018-07-09T15:17:16.410Z,19.4004993,-155.2701721,0.6
2018-07-09T15:14:59.520Z,19.4141674,-155.2681732,-0.12
2018-07-09T15:13:28.410Z,19.4144993,-155.2736664,0.35
2018-07-09T15:09:42.640Z,19.4103336,-155.2788391,0.35
2018-07-09T14:59:52.600Z,19.3988342,-155.2596741,-0.51
2018-07-09T14:56:27.510Z,19.3996658,-155.2711639,0.18
2018-07-09T14:50:12.830Z,19.4050007,-155.2590027,0.92
2018-07-09T14:49:45.750Z,19.4151669,-155.267334,2.08
2018-07-09T14:44:49.300Z,19.3966675,-155.2884979,0.58
2018-07-09T14:44:28.590Z,19.3915005,-155.2539978,0.33
2018-07-09T14:42:35.540Z,19.4013329,-155.2653351,0.51
2018-07-09T14:40:36.190Z,19.3959999,-155.2741699,0.94
2018-07-09T14:40:15.590Z,19.3908329,-155.2863312,0.79
2018-07-09T14:38:33.800Z,19.4076672,-155.2676697,1.7
2018-07-09T14:38:05.190Z,19.3915005,-155.2675018,0.88
2018-07-09T14:31:46.050Z,19.4151669,-155.2766724,-0.92
2018-07-09T14:31:02.480Z,19.4148331,-155.2651672,-0.15
2018-07-09T14:30:43.670Z,19.4031658,-155.284668,0.04
2018-07-09T14:22:54.840Z,19.4561672,-155.2836609,0
2018-07-09T14:21:04.280Z,19.4331665,-155.283493,-1.12
2018-07-09T14:15:26.900Z,19.4366665,-155.4541626,-0.14
2018-07-09T14:15:21.600Z,19.4133339,-155.2845001,1.08
2018-07-09T14:14:29.350Z,19.4128342,-155.2923279,0.11
2018-07-09T14:13:46.520Z,19.427,-155.2420044,-1.1
2018-07-09T14:12:02.160Z,19.4198341,-155.3040009,0.34
2018-07-09T14:10:19.190Z,19.4098339,-155.2466736,-0.24
2018-07-09T14:09:05.040Z,19.4283333,-155.2814941,0.43
2018-07-09T14:07:04.410Z,19.4011667,-155.2676667,0.39
2018-07-09T14:02:46.140Z,19.4029999,-155.2543335,-1.12
2018-07-09T14:02:45.580Z,19.3976669,-155.2698364,-0.05
2018-07-09T14:01:48.800Z,19.4038334,-155.2481689,0.56
2018-07-09T13:56:40.910Z,19.3426666,-155.4673309,3.23
2018-07-09T13:52:59.140Z,19.4021664,-155.2628326,0.55
2018-07-09T13:48:06.880Z,19.4056664,-155.2626648,0.2
2018-07-09T13:41:29.100Z,19.427,-155.2693329,0.22
2018-07-09T13:41:18.800Z,19.3934994,-155.264328,0.62
2018-07-09T13:39:38.730Z,19.4026661,-155.2611694,0.58
2018-07-09T13:39:19.090Z,19.4305,-155.2753296,0.53
2018-07-09T13:36:55.950Z,19.434,-155.2636719,-0.17
2018-07-09T13:36:36.480Z,19.4136658,-155.272995,0.73
2018-07-09T13:33:59.000Z,19.3950005,-155.2669983,-0.06
2018-07-09T13:32:34.120Z,19.3961658,-155.267334,-0.44
2018-07-09T13:31:24.230Z,19.4126663,-155.2883301,0.7
2018-07-09T13:24:48.880Z,19.3985004,-155.2873383,0.71
2018-07-09T13:20:53.700Z,36.5394,-98.9611,6.433
2018-07-09T13:15:01.260Z,19.4188328,-155.284668,-0.37
2018-07-09T13:10:50.860Z,19.4588337,-155.2693329,0.06
2018-07-09T13:08:40.170Z,19.3976669,-155.276001,0.92
2018-07-09T13:06:13.730Z,19.3971672,-155.2736664,0.72
2018-07-09T13:05:22.370Z,19.3948326,-155.2678375,-0.07
2018-07-09T13:04:44.730Z,19.423666,-155.3001709,0.26
2018-07-09T13:03:53.500Z,19.4095001,-155.2599945,1.4
2018-07-09T13:01:30.100Z,19.4073334,-155.272171,-0.03
2018-07-09T12:59:22.040Z,19.4056664,-155.2601624,0.27
2018-07-09T12:51:00.920Z,19.4003333,-155.2703333,0.24
2018-07-09T12:50:46.910Z,19.3963337,-155.2628326,0.3
2018-07-09T12:45:32.470Z,-33.1618,138.5208,7.38
2018-07-09T12:43:33.230Z,19.4204998,-155.2871704,0.78
2018-07-09T12:27:46.060Z,19.3950005,-155.2704926,0.18
2018-07-09T12:16:37.210Z,19.3928337,-155.2653351,-0.16
2018-07-09T12:05:13.080Z,19.4093333,-155.2635,0.4
2018-07-09T12:01:42.560Z,19.4021664,-155.2696686,0.01
2018-07-09T11:59:31.140Z,19.3994999,-155.2661591,0.03
2018-07-09T11:58:12.580Z,19.4086666,-155.2613373,0.5
2018-07-09T11:56:03.790Z,19.4151669,-155.2610016,-0.05
2018-07-09T11:54:16.910Z,19.4169998,-155.2956696,0.61
2018-07-09T11:52:44.050Z,19.4265003,-155.2723389,0.45
2018-07-09T11:45:44.510Z,19.4246674,-155.2599945,0.36
2018-07-09T11:43:26.570Z,19.3331661,-155.125,5.47
2018-07-09T11:32:14.210Z,19.4225006,-155.2655029,0.82
2018-07-09T11:27:39.860Z,19.4028339,-155.290329,0.74
2018-07-09T11:24:42.380Z,19.3953342,-155.2783356,0.87
2018-07-09T11:23:29.280Z,19.3889999,-155.2783356,0.5
2018-07-09T11:19:50.260Z,19.3994999,-155.2648315,1.13
2018-07-09T11:19:08.830Z,19.4153328,-155.2671661,0.02
2018-07-09T11:16:18.710Z,19.4130001,-155.2745056,0.36
2018-07-09T11:11:11.550Z,33.877,-116.2025,9
2018-07-09T11:08:45.290Z,19.3991661,-155.2671661,0.78
2018-07-09T10:54:20.390Z,19.420166,-155.2704926,-0.5
2018-07-09T10:53:53.480Z,19.395834,-155.2618408,0.03
2018-07-09T10:41:06.720Z,19.4098339,-155.2758331,0.09
2018-07-09T10:40:45.350Z,19.4115009,-155.2868347,0.33
2018-07-09T10:39:48.980Z,19.4028339,-155.2601624,0.41
